#    time    ss1   ss2   ss3   ss4  
      20.0  0.13  0.00  0.06  0.00  
      40.0  0.13  0.00  0.06  0.00  
      60.0  0.11  0.10  0.11  0.00  
      80.0  0.17  0.00  0.14  0.00  
     100.0  0.16  0.30  0.05  0.00  
     120.0  0.11  0.30  0.08  0.00  
     140.0  0.11  0.35  0.11  0.00  
     160.0  0.23  0.40  0.14  0.00  
     180.0  0.17  0.15  0.11  0.00  
     200.0  0.23  0.25  0.11  0.00  
     220.0  0.11  0.30  0.15  0.00  
     240.0  0.19  0.40  0.13  0.00  
     260.0  0.14  0.30  0.14  0.00  
     280.0  0.17  0.15  0.14  0.00  
     300.0  0.19  0.15  0.13  0.00  
     320.0  0.21  0.00  0.11  0.00  
     340.0  0.26  0.30  0.05  0.00  
     360.0  0.17  0.15  0.13  0.00  
     380.0  0.17  0.15  0.16  0.00  
     400.0  0.17  0.00  0.10  0.00  
     420.0  0.21  0.15  0.11  0.00  
     440.0  0.14  0.35  0.13  0.00  
     460.0  0.20  0.15  0.15  0.00  
     480.0  0.21  0.10  0.10  0.00  
     500.0  0.26  0.10  0.13  0.00  
     520.0  0.26  0.15  0.09  0.00  
     540.0  0.17  0.20  0.11  0.00  
     560.0  0.17  0.20  0.16  0.00  
     580.0  0.23  0.15  0.14  0.00  
     600.0  0.19  0.30  0.10  0.00  
     620.0  0.14  0.55  0.13  0.00  
     640.0  0.21  0.50  0.08  0.00  
     660.0  0.23  0.50  0.08  0.00  
     680.0  0.16  0.40  0.14  0.00  
     700.0  0.07  0.55  0.11  0.00  
     720.0  0.10  0.60  0.15  0.00  
     740.0  0.17  0.60  0.10  0.00  
     760.0  0.09  0.35  0.14  0.00  
     780.0  0.19  0.70  0.07  0.00  
     800.0  0.11  0.50  0.11  0.00  
     820.0  0.19  0.50  0.13  0.00  
     840.0  0.16  0.50  0.16  0.00  
     860.0  0.21  0.35  0.09  0.00  
     880.0  0.13  0.55  0.14  0.00  
     900.0  0.16  0.45  0.15  0.00  
     920.0  0.14  0.60  0.09  0.00  
     940.0  0.24  0.65  0.16  0.00  
     960.0  0.17  0.40  0.14  0.00  
     980.0  0.09  0.35  0.13  0.00  
    1000.0  0.16  0.50  0.15  0.00  
    1020.0  0.14  0.60  0.07  0.00  
    1040.0  0.19  0.45  0.09  0.00  
    1060.0  0.16  0.70  0.10  0.00  
    1080.0  0.16  0.65  0.10  0.00  
    1100.0  0.17  0.45  0.11  0.00  
    1120.0  0.16  0.50  0.13  0.00  
    1140.0  0.16  0.55  0.14  0.00  
    1160.0  0.26  0.50  0.16  0.00  
    1180.0  0.17  0.35  0.14  0.00  
    1200.0  0.19  0.50  0.10  0.00  
    1220.0  0.19  0.50  0.16  0.00  
    1240.0  0.23  0.35  0.16  0.00  
    1260.0  0.20  0.60  0.14  0.00  
    1280.0  0.14  0.65  0.18  0.00  
    1300.0  0.16  0.25  0.09  0.00  
    1320.0  0.23  0.75  0.11  0.00  
    1340.0  0.20  0.50  0.11  0.00  
    1360.0  0.33  0.25  0.13  0.00  
    1380.0  0.24  0.45  0.13  0.00  
    1400.0  0.21  0.60  0.13  0.00  
    1420.0  0.23  0.45  0.15  0.00  
    1440.0  0.26  0.40  0.14  0.00  
    1460.0  0.23  0.70  0.13  0.00  
    1480.0  0.17  0.75  0.09  0.00  
    1500.0  0.23  0.55  0.10  0.00  
    1520.0  0.11  0.30  0.10  0.00  
    1540.0  0.19  0.50  0.13  0.00  
    1560.0  0.17  0.40  0.11  0.00  
    1580.0  0.26  0.55  0.10  0.00  
    1600.0  0.26  0.35  0.14  0.00  
    1620.0  0.29  0.60  0.11  0.00  
    1640.0  0.24  0.50  0.15  0.00  
    1660.0  0.23  0.45  0.15  0.00  
    1680.0  0.21  0.65  0.11  0.00  
    1700.0  0.21  0.40  0.11  0.00  
    1720.0  0.20  0.70  0.14  0.00  
    1740.0  0.29  0.50  0.15  0.00  
    1760.0  0.27  0.30  0.15  0.00  
    1780.0  0.16  0.50  0.11  0.00  
    1800.0  0.20  0.55  0.08  0.00  
    1820.0  0.23  0.70  0.14  0.00  
    1840.0  0.20  0.55  0.15  0.00  
    1860.0  0.20  0.45  0.06  0.00  
    1880.0  0.27  0.45  0.11  0.00  
    1900.0  0.21  0.60  0.10  0.00  
    1920.0  0.26  0.40  0.10  0.00  
    1940.0  0.33  0.40  0.11  0.00  
    1960.0  0.19  0.60  0.15  0.00  
    1980.0  0.20  0.65  0.07  0.00  
    2000.0  0.23  0.30  0.14  0.00  
    2020.0  0.17  0.50  0.11  0.00  
    2040.0  0.29  0.40  0.10  0.00  
    2060.0  0.20  0.60  0.11  0.00  
    2080.0  0.20  0.35  0.13  0.00  
    2100.0  0.17  0.60  0.13  0.00  
    2120.0  0.19  0.70  0.13  0.00  
    2140.0  0.23  0.50  0.13  0.00  
    2160.0  0.20  0.40  0.11  0.00  
    2180.0  0.26  0.55  0.10  0.00  
    2200.0  0.23  0.25  0.16  0.00  
    2220.0  0.27  0.45  0.11  0.10  
    2240.0  0.23  0.30  0.11  0.10  
    2260.0  0.19  0.65  0.14  0.13  
    2280.0  0.20  0.50  0.13  0.00  
    2300.0  0.21  0.55  0.09  0.00  
    2320.0  0.21  0.40  0.10  0.00  
    2340.0  0.26  0.50  0.13  0.00  
    2360.0  0.29  0.60  0.10  0.00  
    2380.0  0.26  0.35  0.13  0.00  
    2400.0  0.16  0.45  0.14  0.00  
    2420.0  0.17  0.50  0.08  0.00  
    2440.0  0.23  0.35  0.13  0.00  
    2460.0  0.21  0.35  0.13  0.00  
    2480.0  0.26  0.50  0.13  0.00  
    2500.0  0.20  0.45  0.16  0.00  
    2520.0  0.17  0.55  0.16  0.00  
    2540.0  0.19  0.55  0.15  0.00  
    2560.0  0.23  0.45  0.16  0.00  
    2580.0  0.20  0.45  0.09  0.00  
    2600.0  0.21  0.40  0.11  0.00  
    2620.0  0.16  0.30  0.07  0.00  
    2640.0  0.19  0.50  0.09  0.00  
    2660.0  0.21  0.40  0.13  0.00  
    2680.0  0.26  0.65  0.13  0.00  
    2700.0  0.17  0.30  0.08  0.00  
    2720.0  0.29  0.60  0.10  0.00  
    2740.0  0.31  0.70  0.15  0.00  
    2760.0  0.24  0.60  0.10  0.00  
    2780.0  0.20  0.50  0.10  0.00  
    2800.0  0.21  0.60  0.09  0.00  
    2820.0  0.27  0.65  0.15  0.00  
    2840.0  0.27  0.35  0.14  0.00  
    2860.0  0.29  0.40  0.15  0.00  
    2880.0  0.27  0.35  0.14  0.00  
    2900.0  0.27  0.50  0.09  0.06  
    2920.0  0.30  0.55  0.13  0.06  
    2940.0  0.21  0.55  0.10  0.03  
    2960.0  0.19  0.40  0.10  0.13  
    2980.0  0.20  0.50  0.10  0.16  
    3000.0  0.20  0.45  0.14  0.10  
    3020.0  0.29  0.55  0.11  0.13  
    3040.0  0.17  0.40  0.08  0.13  
    3060.0  0.16  0.35  0.14  0.06  
    3080.0  0.13  0.65  0.15  0.10  
    3100.0  0.30  0.45  0.18  0.13  
    3120.0  0.20  0.50  0.16  0.13  
    3140.0  0.29  0.60  0.13  0.16  
    3160.0  0.26  0.50  0.15  0.16  
    3180.0  0.26  0.45  0.18  0.16  
    3200.0  0.14  0.75  0.15  0.10  
