#strand-length number-unfiltedred-struct-with-strands-smaller-than number-filtered-str...
 8  470  458
 9  976  952
10 1416 1370
11 1884 1804
12 2205 2087
13 2571 2412
14 2891 2662
15 3160 2877
16 3320 2976
17 3355 2995
18 3411 3028
19 3470 3064
20 3470 3064
21 3470 3064
22 3470 3064
23 3473 3064
24 3473 3064
25 3473 3064
26 3473 3064
27 3473 3064
28 3473 3064
29 3473 3064
30 3473 3064
31 3473 3064
32 3473 3064
33 3473 3064
34 3473 3064
35 3473 3064
36 3473 3064
37 3473 3064
38 3473 3064
39 3473 3064
40 3473 3064
41 3473 3064
