#strand-length number-unfiltedred-struct-with-strands-smaller-than number-filtered-str...
 8  826  805
 9 1436 1406
10 1947 1903
11 2443 2377
12 2718 2636
13 2979 2882
14 3179 3053
15 3289 3148
16 3351 3202
17 3433 3267
18 3456 3283
19 3469 3296
20 3469 3296
21 3476 3300
22 3476 3300
23 3476 3300
24 3476 3300
25 3476 3300
26 3476 3300
27 3476 3300
28 3476 3300
29 3476 3300
30 3476 3300
31 3476 3300
32 3476 3300
33 3476 3300
34 3476 3300
35 3476 3300
36 3476 3300
37 3476 3300
38 3476 3300
39 3476 3300
40 3476 3300
41 3476 3300
