# r0    Z0    r      Z lambda weights
#                                eh1     eh1a     eh1b    eh1c    eh2     eh3   eh4    eh5a   eh5b   es2     es3    es3a    es3b   es3c    es4    es5    es6    en1     en2     en3
 0.050 2.000 0.562 2.862   0.26 -96.605  -358.120  -7.871  -9.093  1.601  -0.424  25.824  19.312  30.957  -8.578  -6.473  -120.993  -18.257  4.601  27.252  7.738  -10.692  42.851  -146.036  10.164 
 0.050 2.500 0.662 6.186   0.15 0.241  -0.404  -16.876  -1.546  0.433  -0.031  6.789  2.865  5.164  0.159  -2.025  -4.810  -4.836  0.876  0.644  1.629  0.020  1.150  -2.472  -0.011 
 0.050 3.000 0.681 5.751   0.22 -0.460  -15.493  -21.808  -1.716  1.053  -0.060  11.921  5.829  8.578  -0.465  -4.342  -10.026  -6.960  1.383  0.355  1.983  -0.039  2.457  -1.945  0.159 
 0.050 3.500 0.686 5.740   0.21 -1.836  -10.575  -21.629  -1.866  1.142  -0.058  11.482  5.467  8.372  -0.407  -4.177  -9.372  -6.786  1.343  0.225  1.911  0.066  2.449  -2.190  0.154 
 0.050 4.000 0.690 5.733   0.24 0.154  -8.836  -22.638  -2.250  1.288  -0.061  10.863  5.199  8.064  -0.405  -4.124  -8.184  -6.630  1.299  0.322  1.811  0.273  2.517  -2.500  0.222 
 0.050 4.500 0.695 5.708   0.26 1.083  -10.285  -23.111  -2.423  1.398  -0.063  10.345  4.993  7.816  -0.386  -4.052  -7.166  -6.413  1.245  0.429  1.740  0.375  2.549  -3.150  0.274 
 0.050 5.000 0.696 5.694   0.25 0.953  -8.894  -23.085  -2.503  1.415  -0.064  10.292  4.895  7.820  -0.354  -4.034  -7.246  -6.341  1.242  0.318  1.762  0.401  2.548  -2.990  0.210 
 0.050 5.500 0.695 5.694   0.18 -1.246  -10.671  -20.897  -2.435  1.182  -0.058  10.195  4.472  7.697  -0.166  -3.685  -8.454  -6.072  1.225  -0.060  1.861  0.248  2.349  -2.188  -0.007 
 0.050 6.000 0.697 5.686   0.16 -0.381  -8.664  -20.739  -2.420  1.160  -0.056  9.950  4.218  7.554  -0.104  -3.570  -7.166  -5.962  1.204  -0.212  1.860  0.265  2.308  -1.740  -0.088 
 0.050 6.500 0.698 5.676   0.13 -0.660  -7.285  -19.993  -2.364  1.108  -0.054  9.658  3.843  7.299  -0.007  -3.334  -4.497  -5.845  1.166  -0.323  1.794  0.245  2.256  -2.203  -0.082 
 0.050 7.000 0.697 5.807   0.22 1.836  0.264  -20.387  -2.191  0.980  -0.055  7.958  2.368  5.741  -0.037  -2.812  -4.556  -4.907  0.950  0.125  2.069  0.337  1.929  -5.646  -0.043 
 0.050 8.000 0.707 5.563   0.25 0.440  -2.421  -21.444  -2.641  1.315  -0.065  9.675  4.210  7.968  -0.115  -3.507  -3.769  -5.935  1.078  -0.282  2.097  0.127  2.492  -3.018  -0.086 
 0.050 8.500 0.709 5.537   0.24 0.818  -0.629  -21.553  -2.665  1.342  -0.065  9.640  4.105  8.004  -0.096  -3.521  -3.465  -5.939  1.069  -0.332  2.119  0.143  2.514  -3.129  -0.112 
 0.050 9.500 0.711 5.504   0.25 1.644  0.153  -22.060  -2.867  1.427  -0.069  9.555  3.963  8.099  -0.071  -3.585  -3.203  -5.950  1.063  -0.343  2.146  0.186  2.609  -3.344  -0.117 
 0.050 10.000 0.714 5.464   0.28 2.269  -0.781  -22.373  -2.901  1.484  -0.070  9.346  3.947  8.024  -0.086  -3.608  -3.201  -5.837  1.065  -0.317  2.157  0.246  2.615  -3.296  -0.147 
 0.100 2.000 0.547 2.870   0.20 -77.225  -297.392  -6.255  -5.692  1.235  -0.268  20.214  14.801  24.559  -8.336  -4.599  -100.765  -14.329  3.566  21.139  5.991  -9.161  35.386  -113.677  7.939 
 0.100 2.500 0.655 6.289   0.13 1.935  6.032  -17.983  -1.561  0.397  -0.020  6.335  2.526  4.847  -0.141  -1.993  -4.532  -4.983  0.825  0.994  1.832  0.073  1.068  -3.523  0.162 
 0.100 3.000 0.667 6.088   0.15 -0.333  -6.937  -18.431  -1.908  0.565  -0.034  7.891  3.898  5.911  0.095  -2.803  -3.669  -5.084  1.000  -0.220  1.717  0.095  1.323  -5.097  -0.083 
 0.100 3.500 0.671 6.085   0.14 0.612  -6.666  -18.843  -1.902  0.646  -0.037  7.556  3.622  5.809  0.099  -2.741  -2.914  -4.958  0.974  -0.165  1.681  0.173  1.385  -4.524  -0.119 
 0.100 4.000 0.678 6.144   0.32 0.402  5.245  -21.730  -2.609  1.270  -0.042  5.237  2.055  4.452  -0.108  -2.429  -4.836  -4.577  0.927  0.505  1.839  0.327  1.829  -3.134  -0.183 
 0.100 4.500 0.681 6.097   0.30 0.393  4.804  -21.878  -2.695  1.326  -0.045  5.236  2.071  4.629  -0.105  -2.522  -4.809  -4.674  0.949  0.464  1.863  0.363  1.875  -3.252  -0.193 
 0.100 5.000 0.685 6.045   0.30 0.493  5.431  -22.022  -2.767  1.351  -0.046  5.314  2.063  4.753  -0.102  -2.547  -4.756  -4.674  0.941  0.484  1.918  0.353  1.940  -3.384  -0.188 
 0.100 5.500 0.688 6.000   0.32 0.506  5.290  -22.112  -2.831  1.382  -0.048  5.412  2.097  4.944  -0.098  -2.612  -4.786  -4.732  0.946  0.456  1.953  0.359  1.987  -3.538  -0.192 
 0.100 6.000 0.687 5.945   0.19 0.309  -2.452  -20.614  -2.412  1.078  -0.049  7.316  3.380  5.963  0.045  -2.816  -3.593  -4.754  0.964  -0.072  1.558  0.459  1.799  -4.212  -0.159 
 0.100 6.500 0.690 5.905   0.18 0.843  -1.543  -20.673  -2.484  1.086  -0.052  7.296  3.234  6.051  0.073  -2.824  -2.747  -4.792  0.967  -0.039  1.621  0.446  1.835  -4.351  -0.165 
 0.100 7.000 0.698 5.694   0.15 -0.186  -5.805  -20.803  -2.414  1.179  -0.055  9.736  4.073  7.442  -0.088  -3.500  -7.077  -5.891  1.158  -0.248  1.772  0.369  2.310  -2.323  -0.059 
 0.100 7.500 0.695 5.847   0.16 1.601  -0.180  -20.606  -2.467  1.097  -0.054  7.205  2.881  6.214  0.114  -2.839  -2.838  -4.870  0.954  0.038  1.752  0.390  1.876  -4.724  -0.169 
 0.100 8.000 0.701 5.645   0.11 -0.472  2.233  -20.515  -2.447  1.119  -0.053  9.916  3.848  7.472  -0.017  -3.431  -1.655  -6.021  1.178  -0.486  1.839  0.326  2.343  -3.008  -0.100 
 0.100 8.500 0.704 5.752   0.31 0.674  4.711  -22.763  -3.213  1.580  -0.060  5.794  2.249  5.942  -0.080  -3.002  -4.827  -5.087  0.988  0.321  2.183  0.410  2.265  -4.320  -0.210 
 0.100 9.000 0.706 5.713   0.28 0.634  4.785  -22.911  -3.309  1.626  -0.062  5.794  2.238  6.051  -0.084  -3.050  -4.783  -5.136  0.995  0.311  2.228  0.421  2.321  -4.388  -0.218 
 0.100 9.500 0.708 5.676   0.32 0.677  4.828  -23.030  -3.374  1.661  -0.064  5.856  2.264  6.220  -0.079  -3.109  -4.765  -5.182  1.001  0.292  2.253  0.434  2.365  -4.520  -0.221 
 0.150 2.000 0.532 2.887   0.18 -70.653  -280.667  -5.678  -4.089  1.053  -0.195  18.097  13.046  22.152  -8.599  -3.752  -97.856  -12.842  3.171  18.833  5.307  -8.674  32.592  -101.106  7.082 
 0.150 2.500 0.647 6.343   0.12 2.219  0.688  -17.469  -1.236  0.324  -0.012  6.130  2.334  4.483  -0.236  -1.986  -5.227  -5.260  0.767  1.096  2.005  -0.067  1.000  -3.964  0.234 
 0.150 3.000 0.656 6.326   0.16 0.149  2.163  -18.358  -1.859  0.578  -0.020  6.246  2.499  4.935  0.049  -1.968  -2.787  -4.543  0.839  0.351  1.606  0.091  1.199  -1.678  0.052 
 0.150 3.500 0.666 6.128   0.13 1.096  -3.308  -18.349  -1.735  0.541  -0.033  7.214  3.505  5.613  0.126  -2.637  -6.177  -4.900  0.934  -0.111  1.723  0.116  1.195  -5.110  -0.046 
 0.150 4.000 0.673 6.207   0.35 0.385  5.415  -21.583  -2.522  1.225  -0.039  5.128  2.003  4.215  -0.113  -2.335  -4.789  -4.495  0.914  0.540  1.796  0.310  1.765  -2.949  -0.180 
 0.150 4.500 0.677 6.158   0.32 0.424  5.430  -21.711  -2.593  1.261  -0.041  5.190  2.017  4.377  -0.110  -2.397  -4.789  -4.547  0.921  0.525  1.835  0.320  1.818  -3.085  -0.183 
 0.150 5.000 0.680 6.116   0.26 0.467  4.965  -21.737  -2.657  1.293  -0.044  5.239  2.084  4.532  -0.103  -2.458  -4.809  -4.623  0.929  0.477  1.841  0.355  1.847  -3.213  -0.187 
 0.150 5.500 0.684 6.069   0.25 0.455  5.041  -21.901  -2.733  1.334  -0.046  5.286  2.083  4.671  -0.103  -2.528  -4.813  -4.681  0.936  0.463  1.893  0.362  1.904  -3.353  -0.192 
 0.150 6.000 0.687 6.022   0.27 0.430  5.094  -22.080  -2.815  1.383  -0.048  5.321  2.098  4.815  -0.102  -2.601  -4.819  -4.738  0.946  0.447  1.931  0.380  1.959  -3.482  -0.197 
 0.150 6.500 0.690 5.978   0.30 0.478  5.117  -22.142  -2.858  1.396  -0.050  5.498  2.154  5.060  -0.093  -2.656  -4.826  -4.765  0.952  0.429  1.953  0.375  2.005  -3.616  -0.192 
 0.150 7.000 0.693 5.938   0.30 0.606  5.079  -22.209  -2.932  1.429  -0.052  5.496  2.151  5.182  -0.089  -2.687  -4.781  -4.805  0.952  0.415  1.974  0.398  2.042  -3.698  -0.196 
 0.150 7.500 0.695 5.896   0.28 0.615  5.147  -22.337  -2.993  1.463  -0.053  5.552  2.158  5.336  -0.088  -2.749  -4.792  -4.858  0.959  0.402  2.015  0.406  2.093  -3.842  -0.199 
 0.150 8.000 0.692 5.895   0.11 2.126  0.131  -20.207  -2.344  1.027  -0.050  6.827  2.581  6.037  0.109  -2.698  -4.794  -4.738  0.908  0.252  1.754  0.382  1.734  -5.075  -0.183 
 0.150 8.500 0.700 5.816   0.22 0.642  4.962  -22.585  -3.116  1.529  -0.057  5.690  2.200  5.652  -0.081  -2.892  -4.788  -4.979  0.980  0.356  2.101  0.412  2.187  -4.101  -0.205 
 0.150 9.000 0.702 5.780   0.27 0.663  4.796  -22.683  -3.165  1.556  -0.059  5.746  2.223  5.814  -0.083  -2.957  -4.850  -5.053  0.981  0.339  2.161  0.408  2.233  -4.214  -0.209 
 0.150 10.000 0.706 5.707   0.26 0.621  4.818  -22.931  -3.324  1.633  -0.062  5.800  2.234  6.060  -0.084  -3.057  -4.785  -5.142  0.995  0.311  2.235  0.424  2.330  -4.408  -0.219 
 0.200 2.000 0.518 2.912   0.17 -69.687  -284.480  -5.550  -3.108  0.945  -0.152  17.467  12.447  21.454  -9.137  -3.286  -103.532  -12.398  3.047  18.144  5.073  -8.784  31.876  -96.904  6.806 
 0.200 2.500 0.643 6.291   0.06 2.680  -1.250  -17.169  -0.961  0.292  -0.010  6.321  2.518  4.636  -0.310  -2.178  -5.428  -5.879  0.746  1.153  2.293  -0.308  0.906  -3.314  0.378 
 0.200 3.000 0.650 6.387   0.13 0.179  3.473  -18.043  -1.713  0.497  -0.014  5.890  2.219  4.682  0.009  -1.877  -3.876  -4.602  0.811  0.530  1.695  0.047  1.092  -2.104  0.145 
 0.200 3.500 0.664 6.314   0.22 0.324  5.448  -21.370  -2.372  1.152  -0.035  4.972  1.938  3.817  -0.121  -2.203  -4.757  -4.377  0.899  0.581  1.741  0.270  1.667  -2.664  -0.180 
 0.200 4.000 0.668 6.265   0.26 0.374  5.578  -21.449  -2.435  1.180  -0.037  5.051  1.963  4.016  -0.118  -2.252  -4.792  -4.419  0.904  0.574  1.756  0.293  1.709  -2.790  -0.176 
 0.200 5.000 0.676 6.173   0.28 0.358  5.341  -21.676  -2.576  1.260  -0.041  5.131  2.019  4.280  -0.110  -2.394  -4.815  -4.563  0.919  0.507  1.828  0.332  1.800  -3.047  -0.188 
 0.200 5.500 0.679 6.128   0.25 0.459  5.320  -21.740  -2.629  1.278  -0.043  5.226  2.031  4.498  -0.109  -2.432  -4.794  -4.590  0.921  0.510  1.849  0.348  1.844  -3.184  -0.185 
 0.200 6.000 0.682 6.084   0.28 0.378  5.217  -21.918  -2.714  1.333  -0.045  5.243  2.061  4.588  -0.106  -2.517  -4.797  -4.665  0.935  0.475  1.891  0.360  1.895  -3.304  -0.193 
 0.200 6.500 0.686 6.040   0.26 0.400  5.197  -22.036  -2.781  1.366  -0.047  5.306  2.081  4.741  -0.102  -2.577  -4.805  -4.716  0.941  0.458  1.928  0.369  1.943  -3.425  -0.196 
