c0009 29 50
c0010 30 53
c0066 23 55
c0090 28 61
c0091 11 69
c0110 29 59
c0123 21 56
c0124 1 80
c0133 29 61
c0138 19 80
c0141 22 63
c0158 25 58
c0180 27 53
c0188 16 62
c0194 16 73
c0196 29 68
c0197 29 59
c0204 22 69
c0205 30 53
c0210 5 74
c0211 19 76
c0212 30 49
c0217 23 72
c0218 24 76
c0225 12 65
c0236 24 75
c0237 29 65
c0240 21 67
c0241 10 89
c0245 29 56
c0246 25 79
c0252 22 61
c0255 22 69
c0256 12 97
c0259 13 67
c0260 29 57
c0269 28 55
c0270 27 72
c0276 24 68
c0279 28 63
c0291 15 74
c0301 28 65
c0303 25 65
c0310 24 65
c0311 11 97
c0312 16 64
c0322 28 72
c0324 30 48
c0325 15 94
c0327 30 82
c0328 8 101
c0331 27 84
c0333 24 73
c0342 25 54
c0344 30 71
c0346 30 77
c0352 18 77
c0354 27 52
c0357 22 90
c0362 23 79
c0369 29 49
c0370 12 79
c0372 14 89
c0379 27 84
c0381 15 95
c0382 11 72
c0384 26 62
c0386 25 52
c0387 7 107
c0390 16 79
c0398 20 70
c0400 24 55
c0405 23 76
c0406 18 69
c0407 30 58
c0408 30 69
c0410 30 68
c0411 10 69
c0414 30 67
c0436 29 51
c0437 24 57
c0438 30 55
c0441 17 71
c0445 8 120
c0446 17 83
c0449 14 85
c0450 25 62
c0454 17 73
c0458 30 58
c0459 22 63
c0461 25 77
c0464 25 76
c0466 25 62
c0467 13 83
c0471 26 67
c0472 26 61
c0474 30 75
c0483 25 53
c0488 26 77
c0489 30 61
c0490 29 65
c0491 24 60
c0493 1 116
c0496 30 69
c0497 22 65
c0502 16 69
c0508 30 58
c0510 30 89
c0511 14 65
c0514 22 68
c0515 25 70
c0523 16 76
c0525 18 88
c0526 27 80
c0529 25 54
c0530 21 63
c0532 29 51
c0535 18 80
c0537 23 73
c0541 19 58
c0547 24 74
c0548 22 73
c0551 6 90
c0553 24 87
c0554 19 84
c0555 27 88
c0556 25 51
c0559 18 64
c0576 14 83
c0577 22 93
c0578 9 74
c0581 29 86
c0582 19 63
c0587 5 77
c0588 1 103
c0590 23 77
c0591 6 99
c0593 19 70
c0595 18 84
c0597 20 69
c0598 16 96
