P0016900 P0016902 0.91
Q96CA500 Q96CA502 0.44
Q96CA500 Q96CA503 0.28
P6132800 P6132802 0.82
P1041500 P1041502 0.79
O1473200 O1473202 0.97
P2949800 P2949802 0.77
P4977100 P4977102 0.75
Q96IU400 Q96IU402 0.91
P5595700 P5595702 0.99
P5595700 P5595703 0.44
P5595700 P5595704 0.89
Q9BZX200 Q9BZX202 0.59
P6299300 P6299302 0.71
P6299500 P6299503 0.53
Q9ASY900 Q9ASY902 0.95
Q9QZ8800 Q9QZ8802 0.99
P0563100 P0563102 0.97
Q9H2H800 Q9H2H802 0.84
P3331600 P3331602 0.83
P4033700 P4033702 0.40
P4033700 P4033703 0.94
O0858300 O0858302 0.55
P5577300 P5577302 0.60
P5381200 P5381202 1.00
P3044000 P3044002 0.85
P3044000 P3044003 0.70
Q9JMG700 Q9JMG702 0.56
O7560800 O7560802 0.97
Q9H0Z900 Q9H0Z902 0.70
Q9V42900 Q9V42902 0.93
Q9UPY800 Q9UPY802 0.63
P1262000 P1262003 0.19
P1262000 P1262004 0.61
Q9ULZ300 Q9ULZ302 0.59
Q9ULZ300 Q9ULZ303 0.42
Q6UWP200 Q6UWP202 0.95
P1431500 P1431502 0.99
P2693200 P2693202 0.66
P6300000 P6300002 0.88
Q86SZ200 Q86SZ202 0.87
P0260700 P0260702 0.88
O7563600 O7563602 0.88
P0816600 P0816602 0.99
O6086900 O6086902 0.61
O7020100 O7020102 0.93
Q9BQ5000 Q9BQ5002 0.97
P3404700 P3404702 0.67
P1014500 P1014502 0.72
Q6262500 Q6262502 0.91
P2937200 P2937202 0.76
P2937200 P2937203 0.82
Q96T6600 Q96T6602 0.95
P5356300 P5356302 0.44
P5356300 P5356303 0.79
Q9D02000 Q9D02002 1.00
O1539200 O1539202 0.86
P5507500 P5507502 0.84
P5507500 P5507503 0.78
P5507500 P5507504 0.78
Q91ZF000 Q91ZF002 0.64
Q9SXZ200 Q9SXZ202 0.81
Q9NR2800 Q9NR2802 0.91
P1515700 P1515702 0.95
Q9971400 Q9971402 0.93
P5521200 P5521202 0.89
P6124400 P6124402 0.48
P6124400 P6124403 0.50
Q9UMY400 Q9UMY402 0.91
P4806100 P4806102 0.63
P2034000 P2034002 0.98
Q6437300 Q6437302 0.47
Q6437300 Q6437303 0.86
Q6437300 Q6437304 0.85
Q2741500 Q2741502 0.55
Q8VIN100 Q8VIN102 0.95
P0991900 P0991902 0.94
Q9BUT100 Q9BUT102 0.83
Q9NS1800 Q9NS1802 0.76
O4366500 O4366502 0.94
Q1662900 Q1662902 0.64
Q1662900 Q1662903 0.68
O6088800 O6088802 0.66
O6088800 O6088803 0.70
Q9H8S900 Q9H8S902 0.59
Q9UN1900 Q9UN1902 0.47
O6088000 O6088002 0.79
O6088000 O6088003 0.80
O6088000 O6088004 0.85
O6088000 O6088005 0.51
O6088000 O6088006 0.72
P0710800 P0710802 0.99
Q9NP6400 Q9NP6402 0.25
P6017400 P6017402 0.81
Q6PDM200 Q6PDM202 0.82
Q6PDM200 Q6PDM203 0.87
P6108600 P6108602 0.76
P3508000 P3508002 0.99
Q0795500 Q0795502 0.54
Q9JJW600 Q9JJW602 0.47
P0124100 P0124102 0.85
P0124100 P0124103 0.74
P0124100 P0124104 0.80
Q8INK600 Q8INK602 0.92
Q9Y22100 Q9Y22102 0.89
P5481900 P5481902 0.97
P5481900 P5481903 0.78
P5481900 P5481904 0.49
P2594200 P2594202 0.58
P0134400 P0134402 0.39
Q9NZI200 Q9NZI202 0.85
Q9NZI200 Q9NZI203 0.96
P6304300 P6304302 0.18
P6304300 P6304303 0.45
Q9H1R200 Q9H1R202 0.70
P6282000 P6282002 0.57
P6282000 P6282003 0.42
Q9UKB300 Q9UKB302 0.63
P2274900 P2274902 0.65
P2206100 P2206102 1.00
Q8C0D700 Q8C0D702 0.28
Q9Y5S900 Q9Y5S902 0.56
Q9BR0100 Q9BR0102 0.93
Q6ID7000 Q6ID7002 0.94
Q1324100 Q1324102 0.81
Q1324100 Q1324103 0.82
Q8R42600 Q8R42602 0.91
Q6P58700 Q6P58702 0.95
P3079300 P3079302 0.86
P3079300 P3079303 0.89
P3079300 P3079304 0.93
Q0301300 Q0301302 0.96
P6320800 P6320802 0.90
Q0781700 Q0781702 0.39
Q0781700 Q0781703 0.80
P1851000 P1851002 0.91
P1851000 P1851003 0.94
P1851000 P1851004 0.97
Q96CD200 Q96CD202 0.91
Q9WUK200 Q9WUK202 0.47
Q9BUP300 Q9BUP302 0.71
Q8N2K100 Q8N2K102 0.55
P1467800 P1467802 0.30
Q1685400 Q1685402 0.60
Q1685400 Q1685403 0.75
Q1685400 Q1685404 0.37
P1592700 P1592702 0.53
Q9UBQ000 Q9UBQ002 1.00
P3784000 P3784002 0.78
P3784000 P3784003 0.65
O0854300 O0854302 0.71
O7536500 O7536502 0.80
O7536500 O7536503 0.22
O8909300 O8909302 0.72
P0025700 P0025702 0.67
P0511200 P0511202 0.73
P0017300 P0017302 0.93
P6284900 P6284902 0.79
P6284900 P6284903 0.87
P6095300 P6095302 0.98
Q0802400 Q0802402 0.86
Q0802400 Q0802403 0.86
Q0802400 Q0802404 0.70
P4976300 P4976302 0.66
P4976300 P4976303 0.65
Q9R0M500 Q9R0M502 0.91
Q9R0M500 Q9R0M503 0.60
Q8R03500 Q8R03502 0.75
Q96B0200 Q96B0202 0.94
P2466600 P2466602 0.99
P2466600 P2466603 0.90
P2006500 P2006502 0.51
P3043800 P3043802 0.86
P0111600 P0111602 0.95
Q9JHG600 Q9JHG602 0.72
Q9306200 Q9306204 0.67
