'#(1)header    (2)TM of best model    (3)fraction of residues with identical secondary structure assignment. The methods are seqdat2ss.py and pdb2ss.py    (4)(5)(6) fraction of C,H,E for seqdat2ss.py   (7)(8)( fraction of C,H,E for pdb2ss.py
#  1    2    3   4     5    6    7    8    9
1fs1A 0.44 0.88 0.34 0.66 0.00 0.46 0.54 0.00
1k1vA 0.46 0.83 0.27 0.73 0.00 0.39 0.61 0.00
1jjsA 0.32 0.74 0.26 0.74 0.00 0.52 0.48 0.00
1olgA 0.42 0.88 0.50 0.36 0.14 0.38 0.48 0.14
1b01A 0.51 0.79 0.37 0.49 0.14 0.26 0.58 0.16
1h1jS 0.53 0.80 0.32 0.68 0.00 0.48 0.52 0.00
1bh8A 0.54 0.98 0.29 0.71 0.00 0.31 0.69 0.00
1dv0A 0.74 0.84 0.40 0.60 0.00 0.38 0.62 0.00
1e0eA 0.38 0.65 0.37 0.63 0.00 0.46 0.54 0.00
1pv0A 0.51 0.78 0.26 0.74 0.00 0.48 0.52 0.00
1r2aA 0.46 0.85 0.33 0.67 0.00 0.35 0.59 0.07
1v92A 0.57 0.57 0.54 0.37 0.09 0.33 0.67 0.00
1h3oA 0.45 0.94 0.27 0.73 0.00 0.29 0.71 0.00
1ufiA 0.52 0.90 0.31 0.69 0.00 0.29 0.71 0.00
1akhA 0.81 0.80 0.37 0.63 0.00 0.33 0.67 0.00
1ifyA 0.70 0.86 0.31 0.69 0.00 0.41 0.59 0.00
1nd9A 0.31 0.80 0.41 0.59 0.00 0.53 0.47 0.00
1otrA 0.33 0.57 0.47 0.22 0.31 0.39 0.61 0.00
1ixsA 0.77 0.84 0.26 0.74 0.00 0.34 0.66 0.00
1oksA 0.53 0.60 0.28 0.72 0.00 0.64 0.36 0.00
1hcrA 0.58 0.90 0.46 0.54 0.00 0.56 0.44 0.00
1mn3A 0.31 0.88 0.27 0.73 0.00 0.31 0.69 0.00
1q02A 0.58 0.87 0.38 0.62 0.00 0.52 0.48 0.00
1arqA 0.42 0.79 0.47 0.53 0.00 0.38 0.47 0.15
1r4gA 0.75 0.89 0.28 0.72 0.00 0.32 0.68 0.00
1jjrA 0.68 0.94 0.43 0.57 0.00 0.48 0.52 0.00
1pd3A 0.51 0.85 0.09 0.91 0.00 0.24 0.76 0.00
1dp3A 0.50 0.75 0.25 0.65 0.09 0.51 0.49 0.00
1ef4A 0.53 0.87 0.44 0.55 0.02 0.53 0.47 0.00
1lx8A 0.34 0.71 0.60 0.29 0.11 0.65 0.24 0.11
1bw6A 0.57 0.88 0.43 0.57 0.00 0.52 0.48 0.00
1e52A 0.64 0.86 0.27 0.73 0.00 0.27 0.73 0.00
1kftA 0.67 0.89 0.41 0.59 0.00 0.52 0.48 0.00
1r1bA 0.54 0.86 0.36 0.64 0.00 0.46 0.54 0.00
1j75A 0.67 0.88 0.42 0.58 0.00 0.51 0.49 0.00
1vf6A 0.39 0.91 0.16 0.84 0.00 0.24 0.76 0.00
1fexA 0.64 0.78 0.32 0.68 0.00 0.44 0.56 0.00
1avoA 0.32 0.80 0.28 0.72 0.00 0.35 0.60 0.05
1gyzA 0.57 0.88 0.23 0.77 0.00 0.28 0.72 0.00
